Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg)
Denmark,1980,5125397,1319114,0.25736815,257.36815
Denmark,1981,5126983,1332499,0.25989923,259.89923
Denmark,1982,5126402,1330508,0.25954032,259.54032
Denmark,1983,5124341,1398489,0.27291098,272.91098
Denmark,1984,5121317,1395938,0.27257404,272.57404
Denmark,1985,5119453,1438701,0.2810263,281.0263
Denmark,1986,5119368,1506886,0.29435,294.35
Denmark,1987,5121515,1500619,0.29300296,293.00296
Denmark,1988,5126107,1505570,0.29370633,293.70633
Denmark,1989,5133937,1500671,0.29230413,292.30413
Denmark,1990,5144626,1546712,0.30064616,300.64616
Denmark,1991,5158325,1629106,0.31582072,315.82072
Denmark,1992,5175466,1747646,0.33767897,337.67897
Denmark,1993,5193776,1880145,0.36199963,361.99963
Denmark,1994,5213801,1889334,0.3623717,362.3717
Denmark,1995,5235205,1854488,0.35423407,354.23407
Denmark,1996,5256002,1847678,0.35153678,351.53678
Denmark,1997,5277385,1876881,0.355646,355.646
Denmark,1998,5298991,1986570,0.3748959,374.8959
Denmark,1999,5319856,2006130,0.37710232,377.10232
Denmark,2000,5340662,1985389.4,0.37174967,371.74967
Denmark,2001,5360753,2090981.5,0.3900537,390.0537
Denmark,2002,5378700,2135645.2,0.397056,397.056
Denmark,2003,5396355,2114041,0.3917535,391.7535
Denmark,2004,5415583,2157658,0.39841658,398.41658
Denmark,2005,5436314,2121868,0.39031374,390.31374
Denmark,2006,5457863,2053950,0.37632862,376.32862
Denmark,2007,5479722,2110778.5,0.3851981,385.1981
Denmark,2008,5502752,2018240,0.3667692,366.7692
Denmark,2009,5526455,1888236.6,0.3416723,341.6723
Denmark,2010,5550850,1993436.9,0.3591228,359.1228
Denmark,2011,5576016,2048917.9,0.36745194,367.45194
Denmark,2012,5600955,1989131.1,0.35514143,355.14143
Denmark,2013,5625393,1891283.2,0.33620465,336.20465
Denmark,2014,5650654,1884947.9,0.3335805,333.5805
Denmark,2015,5677795,1871928.9,0.32969293,329.69293
Denmark,2016,5706856,1868369.5,0.32739034,327.39034
Denmark,2017,5737286,1813655.8,0.31611738,316.11738
Denmark,2018,5766689,1862831,0.32303303,323.03303
Denmark,2019,5795879,1786224,0.30818862,308.18862
Denmark,2020,5825638,1885654.8,0.3236821,323.6821
Denmark,2021,5854246,2011353.6,0.34357175,343.57175
Denmark,2022,5882259,1882619.2,0.3200504,320.0504
Senegal,1980,5703873,60711.5,0.010643908,10.643908
Senegal,1981,5852029,70449.5,0.012038474,12.038474
Senegal,1982,6008391,71950.25,0.011974962,11.9749615
Senegal,1983,6171882,71732.25,0.011622427,11.622427
Senegal,1984,6341803,70927.5,0.011184122,11.184122
Senegal,1985,6520707,75622,0.011597209,11.597209
Senegal,1986,6710889,84419.75,0.012579518,12.579518
Senegal,1987,6909836,83645.75,0.012105316,12.105316
Senegal,1988,7113639,83092.25,0.011680695,11.680695
Senegal,1989,7321837,85535.75,0.01168228,11.68228
Senegal,1990,7536003,86815.32,0.011520075,11.520075
Senegal,1991,7754296,96161.5,0.012401061,12.401061
Senegal,1992,7974512,93305.55,0.011700471,11.700471
Senegal,1993,8196551,94382.1,0.011514856,11.514856
Senegal,1994,8417001,96120.64,0.011419821,11.419821
Senegal,1995,8632684,98436.19,0.011402733,11.402733
Senegal,1996,8843426,98255.24,0.011110541,11.1105405
Senegal,1997,9051545,101308.28,0.011192375,11.192375
Senegal,1998,9261531,102739.08,0.011093099,11.093099
Senegal,1999,9478565,107391,0.01132988,11.32988
Senegal,2000,9704291,114414.89,0.011790134,11.790134
Senegal,2001,9938028,120051.31,0.012079993,12.079993
Senegal,2002,10180944,117266.25,0.01151821,11.51821
Senegal,2003,10434505,115921.25,0.011109415,11.109415
Senegal,2004,10698699,117185.04,0.010953205,10.953205
Senegal,2005,10974066,128328.74,0.011693819,11.693819
Senegal,2006,11263389,136323.16,0.012103209,12.103209
Senegal,2007,11563878,132486.83,0.011456955,11.456955
Senegal,2008,11872933,148943.12,0.012544762,12.544762
Senegal,2009,12195028,156385.97,0.012823748,12.823748
Senegal,2010,12530128,166703.42,0.013304208,13.3042075
Senegal,2011,12875878,187232.44,0.014541334,14.541334
Senegal,2012,13231840,206246.06,0.015587104,15.587104
Senegal,2013,13595571,218786.7,0.016092498,16.092498
Senegal,2014,13970314,219508.61,0.015712503,15.712503
Senegal,2015,14356191,229645.47,0.015996268,15.996268
Senegal,2016,14751356,240971.1,0.01633552,16.33552
Senegal,2017,15157793,263627.3,0.017392196,17.392196
Senegal,2018,15574910,273117.34,0.017535726,17.535726
Senegal,2019,16000783,284698.38,0.017792778,17.792778
Senegal,2020,16436120,302554.94,0.01840793,18.40793
Senegal,2021,16876726,315440.75,0.018690873,18.690873
Senegal,2022,17316452,338926.97,0.019572541,19.572541
United Kingdom,1980,56326330,3070701,0.054516263,54.516263
United Kingdom,1981,56395850,2983915,0.05291019,52.91019
United Kingdom,1982,56450132,3007044,0.053269032,53.269032
United Kingdom,1983,56501616,3134580,0.055477705,55.477705
United Kingdom,1984,56568252,3212344.2,0.05678705,56.78705
United Kingdom,1985,56643040,3340024.8,0.058966197,58.966197
United Kingdom,1986,56721910,3288262.8,0.05797165,57.97165
United Kingdom,1987,56826320,3419057.8,0.0601668,60.1668
United Kingdom,1988,56952650,3344925.8,0.058731697,58.731697
United Kingdom,1989,57076096,3269172,0.05727743,57.27743
United Kingdom,1990,57210444,3318561,0.05800621,58.00621
United Kingdom,1991,57359452,3432907,0.05984902,59.84902
United Kingdom,1992,57509240,3621917,0.06297974,62.97974
United Kingdom,1993,57647464,3620935.8,0.06281171,62.81171
United Kingdom,1994,57785900,3779454.8,0.065404445,65.404445
United Kingdom,1995,57930364,3829743.5,0.066109434,66.109434
United Kingdom,1996,58078584,3560464,0.06130425,61.30425
United Kingdom,1997,58250190,3652021.2,0.062695436,62.695436
United Kingdom,1998,58438320,3765518,0.064435765,64.435765
United Kingdom,1999,58635204,3649803,0.062245935,62.245935
United Kingdom,2000,58850044,3511453.5,0.059667815,59.667815
United Kingdom,2001,59092016,3264892.8,0.055250995,55.250995
United Kingdom,2002,59355690,3341424.5,0.056294933,56.294933
United Kingdom,2003,59649800,3297592.5,0.05528254,55.28254
United Kingdom,2004,59995852,3313101.8,0.05522218,55.22218
United Kingdom,2005,60383740,3393503.8,0.056198966,56.198966
United Kingdom,2006,60803700,3403731.8,0.055979025,55.979025
United Kingdom,2007,61260680,3419784.8,0.055823486,55.823486
United Kingdom,2008,61742150,3372677.5,0.054625202,54.625202
United Kingdom,2009,62243384,3335871.5,0.053593993,53.593993
United Kingdom,2010,62760050,3533312.8,0.05629876,56.29876
United Kingdom,2011,63286360,3612080,0.057075173,57.075173
United Kingdom,2012,63808730,3603855.8,0.05647904,56.47904
United Kingdom,2013,64302296,3641010.5,0.056623336,56.623336
United Kingdom,2014,64773504,3696093,0.057061803,57.061803
United Kingdom,2015,65224370,3830949,0.058734935,58.734935
United Kingdom,2016,65655204,3941592.5,0.06003473,60.03473
United Kingdom,2017,66064810,3957573.8,0.059904415,59.904415
United Kingdom,2018,66432996,4088098.5,0.06153717,61.53717
United Kingdom,2019,66778660,4119850.5,0.06169412,61.69412
United Kingdom,2020,67059470,4214934.5,0.06285368,62.85368
United Kingdom,2021,67281040,4225118,0.062798046,62.798046
United Kingdom,2022,67508936,4220671.5,0.06252019,62.52019
