"","year","week","country","source","kg","max","normalise_kg","norm_year","time"
"1",1985,1,"denmark","animals",0,461,0,0,1
"2",1985,1,"denmark","environ",0,3310,0,0,1
"3",1985,1,"denmark","humans",0,3104,0,0,1
"4",1985,1,"england","animals",0,1336,0,0,1
"5",1985,1,"england","environ",0,5280,0,0,1
"6",1985,1,"england","humans",0,4500,0,0,1
"7",1985,1,"senegal","animals",0,14735,0,0,1
"8",1985,1,"senegal","environ",0,28862.02,0,0,1
"9",1985,1,"senegal","humans",0,22726,0,0,1
"10",1985,2,"denmark","animals",0,461,0,0,2
"11",1985,2,"denmark","environ",0,3310,0,0,2
"12",1985,2,"denmark","humans",0,3104,0,0,2
"13",1985,2,"england","animals",0,1336,0,0,2
"14",1985,2,"england","environ",0,5280,0,0,2
"15",1985,2,"england","humans",0,4500,0,0,2
"16",1985,2,"senegal","animals",0,14735,0,0,2
"17",1985,2,"senegal","environ",0,28862.02,0,0,2
"18",1985,2,"senegal","humans",0,22726,0,0,2
"19",1985,3,"denmark","animals",0,461,0,0,3
"20",1985,3,"denmark","environ",0,3310,0,0,3
"21",1985,3,"denmark","humans",0,3104,0,0,3
"22",1985,3,"england","animals",0,1336,0,0,3
"23",1985,3,"england","environ",0,5280,0,0,3
"24",1985,3,"england","humans",0,4500,0,0,3
"25",1985,3,"senegal","animals",0,14735,0,0,3
"26",1985,3,"senegal","environ",0,28862.02,0,0,3
"27",1985,3,"senegal","humans",0,22726,0,0,3
"28",1985,4,"denmark","animals",0,461,0,0,4
"29",1985,4,"denmark","environ",0,3310,0,0,4
"30",1985,4,"denmark","humans",0,3104,0,0,4
"31",1985,4,"england","animals",0,1336,0,0,4
"32",1985,4,"england","environ",0,5280,0,0,4
"33",1985,4,"england","humans",0,4500,0,0,4
"34",1985,4,"senegal","animals",0,14735,0,0,4
"35",1985,4,"senegal","environ",0,28862.02,0,0,4
"36",1985,4,"senegal","humans",0,22726,0,0,4
"37",1985,5,"denmark","animals",0,461,0,0,5
"38",1985,5,"denmark","environ",0,3310,0,0,5
"39",1985,5,"denmark","humans",0,3104,0,0,5
"40",1985,5,"england","animals",0,1336,0,0,5
"41",1985,5,"england","environ",0,5280,0,0,5
"42",1985,5,"england","humans",0,4500,0,0,5
