,year,week,country,population,name,value,maxx,value_norm
1,1980,1,Denmark,5125397,production__tonnes__per_capita,0.25736815,0.39841658,0.645977509
2,1980,1,Senegal,5703873,production__tonnes__per_capita,0.010643908,0.019572541,0.543818404
3,1980,1,England,56326330,production__tonnes__per_capita,0.054516263,0.066109434,0.824636662
4,1980,2,Denmark,5125397,production__tonnes__per_capita,0.25736815,0.39841658,0.645977509
5,1980,2,Senegal,5703873,production__tonnes__per_capita,0.010643908,0.019572541,0.543818404
6,1980,2,England,56326330,production__tonnes__per_capita,0.054516263,0.066109434,0.824636662
7,1980,3,Denmark,5125397,production__tonnes__per_capita,0.25736815,0.39841658,0.645977509
8,1980,3,Senegal,5703873,production__tonnes__per_capita,0.010643908,0.019572541,0.543818404
9,1980,3,England,56326330,production__tonnes__per_capita,0.054516263,0.066109434,0.824636662
10,1980,4,Denmark,5125397,production__tonnes__per_capita,0.25736815,0.39841658,0.645977509
11,1980,4,Senegal,5703873,production__tonnes__per_capita,0.010643908,0.019572541,0.543818404
12,1980,4,England,56326330,production__tonnes__per_capita,0.054516263,0.066109434,0.824636662
13,1980,5,Denmark,5125397,production__tonnes__per_capita,0.25736815,0.39841658,0.645977509
14,1980,5,Senegal,5703873,production__tonnes__per_capita,0.010643908,0.019572541,0.543818404
15,1980,5,England,56326330,production__tonnes__per_capita,0.054516263,0.066109434,0.824636662
16,1980,6,Denmark,5125397,production__tonnes__per_capita,0.25736815,0.39841658,0.645977509
17,1980,6,Senegal,5703873,production__tonnes__per_capita,0.010643908,0.019572541,0.543818404
18,1980,6,England,56326330,production__tonnes__per_capita,0.054516263,0.066109434,0.824636662
19,1980,7,Denmark,5125397,production__tonnes__per_capita,0.25736815,0.39841658,0.645977509
20,1980,7,Senegal,5703873,production__tonnes__per_capita,0.010643908,0.019572541,0.543818404
21,1980,7,England,56326330,production__tonnes__per_capita,0.054516263,0.066109434,0.824636662
22,1980,8,Denmark,5125397,production__tonnes__per_capita,0.25736815,0.39841658,0.645977509
23,1980,8,Senegal,5703873,production__tonnes__per_capita,0.010643908,0.019572541,0.543818404
24,1980,8,England,56326330,production__tonnes__per_capita,0.054516263,0.066109434,0.824636662
25,1980,9,Denmark,5125397,production__tonnes__per_capita,0.25736815,0.39841658,0.645977509
26,1980,9,Senegal,5703873,production__tonnes__per_capita,0.010643908,0.019572541,0.543818404
27,1980,9,England,56326330,production__tonnes__per_capita,0.054516263,0.066109434,0.824636662
28,1980,10,Denmark,5125397,production__tonnes__per_capita,0.25736815,0.39841658,0.645977509
29,1980,10,Senegal,5703873,production__tonnes__per_capita,0.010643908,0.019572541,0.543818404
30,1980,10,England,56326330,production__tonnes__per_capita,0.054516263,0.066109434,0.824636662
31,1980,11,Denmark,5125397,production__tonnes__per_capita,0.25736815,0.39841658,0.645977509
32,1980,11,Senegal,5703873,production__tonnes__per_capita,0.010643908,0.019572541,0.543818404
33,1980,11,England,56326330,production__tonnes__per_capita,0.054516263,0.066109434,0.824636662
